Organization Name,Website,Submission ,Wallets,Credential Issuers,Demo Video 
Acreditta,https://acreditta.com/,Credential Issuer ,"LearnCard, Veres",,https://www.youtube.com/watch?v=PkCH-qYkleg
ASU Pocket,https://pocket.asu.edu/,Credential Issuer ,LearnCard,,https://www.loom.com/share/e317fecd525b4866a9750243d309be36
ASU Pocket,https://pocket.asu.edu/,Credential Issuer ,SmartResume ,,https://www.youtube.com/watch?v=Gbeg-iV7a6U
Charles E. Lehner,https://celehner.com/,Wallet Provider,,"Dominum, Veres",https://toobnix.org/w/3FWtMDTk41WzqatKxgPXfL
Crossword Cybersecurity PLC,https://www.crosswordcybersecurity.com/,Credential Issuer ,Sphereon,,https://youtu.be/H81onnLnHuk
Crossword Cybersecurity PLC,https://www.crosswordcybersecurity.com/,Credential Issuer ,Spruce,,https://www.youtube.com/watch?v=JmNSzAPEaCE
Crossword Cybersecurity PLC,https://www.crosswordcybersecurity.com/,Wallet Provider,,"Spruce, walt.id",https://youtu.be/hSMUwHQJlro
Danube Tech,https://danubetech.com/,Credential Issuer ,"LearnCard, Veres",,https://www.youtube.com/watch?v=14X2hwDO-ng&t=86s
Digital Bazaar (Veres) ,https://www.digitalbazaar.com/,Credential Issuer ,"LearnCard, Gobekli",,https://www.youtube.com/watch?v=YBsUJAefJz0
Digital Bazaar (Veres) ,https://www.digitalbazaar.com/,Wallet Provider,,"Instructure, Trusted Learner Network ",https://www.youtube.com/watch?v=i9hpFGLOwlQ
Diwala,https://www.diwala.io/,Credential Issuer ,MATTR,,https://youtu.be/zzC9VgKUQao?t=88
Diwala,https://www.diwala.io/,Credential Issuer ,"Entrustient, Inc",,https://www.youtube.com/watch?v=9q7JmuDH4QY
Diwala,https://www.diwala.io/,Credential Issuer ,Sphereon,,https://drive.google.com/drive/folders/1T3uN6wbgEbYb8a9OnIqvzV4zNHRyC3ON
Diwala,https://www.diwala.io/,Wallet Provider,,"Walt.id, Entrustient , MATTR, Danube Tech, Spruce, Diwala",https://youtu.be/0JJOIytOzoQ
"Entrustient, Inc",https://entrustient.com/,Wallet Provider,,Danube Tech,https://youtu.be/8mo8wA-tlnY
"Entrustient, Inc",https://entrustient.com/,Wallet Provider,,MATTR,https://youtu.be/wIkFXgdQGsY
"Entrustient, Inc",https://entrustient.com/,Wallet Provider,,Spruce,https://youtu.be/rVUgVfHgv4s
"Entrustient, Inc",https://entrustient.com/,Wallet Provider,,walt.id,https://youtu.be/mgkt6WBUFv8
"Entrustient, Inc",https://entrustient.com/,Wallet Provider,,Diwala,https://youtu.be/9q7JmuDH4QY
"Entrustient, Inc",https://entrustient.com/,Credential Issuer ,Sphereon,,https://drive.google.com/file/d/10TOvlb1KmLVuyY--p-ufthuv6ROIKgwf/view?usp=share_link
"Entrustient, Inc",https://entrustient.com/,Credential Issuer ,Diwala,,https://youtu.be/0JJOIytOzoQ?t=150
FuixLabs,https://fuixlabs.com/,Credential Issuer ,"Veres, Charles Lehner ",,https://youtu.be/VYeQREQcNSM
Gobekli,https://gobekli.io/passport/,Wallet Provider,,"LearnCard, ProofSpace, Veres",https://youtu.be/Sh7mvNKrDpQ
Greenlight Credentials ,https://www.glcredentials.com/,Credential Issuer ,iQ4,,https://www.youtube.com/watch?v=r7KKq28Bd_c
Greenlight Credentials ,https://www.glcredentials.com/,Credential Issuer ,Sphereon,,https://youtu.be/P0OnoSUKEwk
IDatafy (SmartResume),https://idatafy.com/,Wallet Provider,,"ASU Pocket, DCC, Instructure, Learning Economy ",https://youtu.be/Gbeg-iV7a6U
Instructure,https://www.instructure.com/,Credential Issuer ,,,https://www.youtube.com/watch?v=Y_N-vNZVJL4
Instructure,https://www.instructure.com/,Credential Issuer ,,Veres,https://www.youtube.com/watch?v=xMlLaJ54f5E
iQ4,https://www.iq4.com/,Wallet Provider,,"Spruce, Crossword Cybersecurity, Velocity, Greenlight Credentials",https://www.youtube.com/watch?v=QtZSRmRuMgk
Learning Economy Foundation (LearnCard),https://www.learningeconomy.io/,Credential Issuer ,,,"See wallet videos for Gobekli, iDatafy (SmartResume), RANDA"
Learning Economy Foundation (LearnCard),https://www.learningeconomy.io/,Wallet Provider,,"Veres Issuer, Participate",https://www.loom.com/share/34007666a99c44fb96c6d7158ead93f7
MATTR,https://mattr.global/,Credential Issuer ,,,"See wallet videos for Entrustient, Diwala"
MATTR,https://mattr.global/,Wallet Provider ,,"MATTR, Diwala, Entrustient ",https://www.youtube.com/watch?v=zzC9VgKUQao&feature=youtu.be
MIT/DCC,https://digitalcredentials.mit.edu/,Credential Issuer ,,,"See wallet videos for iDatafy(Smart Resume), RANDA, Territorium"
MIT/DCC,https://digitalcredentials.mit.edu/,Wallet Provider,,"Participate, Learning Economy Foundation",https://www.youtube.com/watch?v=DJ0aVLXUYNU
Participate,https://www.participate.com/,Credential Issuer ,"LearnCard, MIT/DCC",,https://w3c-ccg.github.io/vc-ed/plugfest-1-2022/participants.html
ProofSpace ,https://www.proofspace.id/,Credential Issuer,"LearnCard, Veres",,https://youtu.be/fw6qWbZH17A
RANDA Teacher Wallet,https://randasolutions.com/,Wallet Provider,,"DCC, Learning Economy Foundation ",https://youtu.be/ql5SdUtMAvI
Sphereon ,https://sphereon.com/,Wallet Provider,,"walt.id, Spruce, Velocity Network, Greenlight Credentials",https://youtu.be/P0OnoSUKEwk
"Spruce Systems, Inc.",https://spruceid.com/,Wallet Provider,,"Diwala, Walt.id, Entrustient, Danube Tech, MATTR",https://www.youtube.com/watch?v=BpPTnmb-2Mw
"Spruce Systems, Inc.",https://spruceid.com/,Wallet Provider,,Digital Bazaar (Veres) ,https://youtube.com/shorts/x4oemicw7TI?feature=share
Territorium ,https://territorium.com/,Wallet Provider,,"DCC, Instructure, and RANDA",https://youtu.be/tayGS5g3wiI
Territorium ,https://territorium.com/,Credential Issuer,"Veres, RANDA and DCC ",,https://youtu.be/4r-BOUlTMkE
Territorium ,https://territorium.com/,Credential Issuer,LearnCard,,https://youtu.be/E1IkFLZdj8w
The Trusted Learner Network ,https://tln.asu.edu/,Credential Issuer,"LearnCard, Veres",,https://www.youtube.com/watch?v=7CH0ULOz2vM
Validated ID,https://www.validatedid.com/,Wallet Provider,,"Spruce ID, Danube Tech, walt.id, and Velocity",https://youtu.be/XjCi3p7DM20
Validated ID,https://www.validatedid.com/,Wallet Provider,,,https://www.youtube.com/watch?v=q6Bd0wKwrAI
Velocity Career Labs,https://www.velocitycareerlabs.com/,Credential Issuer,"iQ4, Sphereon ",,https://www.youtube.com/watch?v=_VfYjHS99fk
walt.id,http://walt.id/,Credential Issuer,Crossword Security,,https://www.youtube.com/watch?v=hSMUwHQJlro
walt.id,http://walt.id/,Credential Issuer,ValidateID ,,https://www.youtube.com/watch?v=XjCi3p7DM20
walt.id,http://walt.id/,Credential Issuer,Sphereon ,,https://youtu.be/P0OnoSUKEwk?t=50